,Seat_Number,ST-101,ST-102,ST-103,ST-104,ST-105,ST-106,Total
0,368186,36,27,25,18,35,24,33.016975308641975
1,368187,33,49,31,36,45,35,45.82355967078189
2,368188,38,46,31,45,47,38,49.02520576131687
3,368189,1,-1,7,8,-1,-1,2.6013374485596708
4,368190,30,26,14,14,30,39,30.615740740740744
5,368191,25,24,30,26,35,48,37.61934156378601
6,368192,8,-1,-1,-1,10,29,8.804526748971194
7,368193,11,-1,5,9,-1,-1,4.402263374485597
8,368194,41,57,52,48,51,49,59.63065843621399
9,368195,39,24,19,24,24,25,31.015946502057613
10,368196,45,24,38,25,39,30,40.22067901234568
11,368197,-1,24,14,26,28,7,19.61008230452675
12,368198,41,27,26,24,32,24,34.817901234567906
13,368199,12,8,10,4,17,6,11.405864197530866
14,368200,29,24,34,31,41,30,37.81944444444444
15,368201,25,16,33,24,34,26,31.61625514403292
16,368202,27,37,36,19,24,25,33.617283950617285
17,368203,29,38,35,35,40,39,43.22222222222222
18,368204,29,26,31,27,38,24,35.01800411522634
19,368205,41,47,39,33,44,44,49.625514403292186
20,368206,19,12,19,-1,19,12,16.008230452674898
21,368207,19,0,16,1,17,15,13.606995884773662
22,368208,37,29,36,26,35,37,40.02057613168724
23,368209,25,24,26,24,31,27,31.416152263374485
24,368210,12,-1,24,4,18,36,18.609567901234566
25,368211,24,24,33,18,32,24,31.015946502057613
26,368212,40,46,45,41,52,55,55.8287037037037
27,368213,28,17,6,6,25,33,23.011831275720166
28,368214,12,3,16,6,24,26,17.408950617283953
29,368215,32,19,27,6,29,31,28.814814814814813
30,368216,39,34,38,31,45,38,45.02314814814815
31,368217,31,35,32,25,46,33,40.42078189300411
32,368218,35,48,40,49,51,54,55.428497942386834
33,368219,37,-1,36,19,-1,42,26.41358024691358
34,368220,37,36,40,47,47,49,51.22633744855967
35,368221,41,36,42,42,41,33,47.0241769547325
36,368222,31,17,37,37,41,43,41.22119341563786
37,368223,33,36,36,33,48,39,45.02314814814815
38,368224,15,18,13,7,31,15,19.810185185185187
39,368225,25,24,20,15,28,25,27.414094650205765
40,368226,29,31,39,19,40,33,38.21965020576132
41,368227,31,47,36,38,46,37,47.0241769547325
42,368228,27,35,29,24,45,46,41.22119341563786
